,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per,8_word,8_per,9_word,9_per,10_word,10_per,11_word,11_per,12_word,12_per,13_word,13_per,14_word,14_per,15_word,15_per,16_word,16_per,17_word,17_per,18_word,18_per,19_word,19_per,20_word,20_per,21_word,21_per,22_word,22_per,23_word,23_per,24_word,24_per,25_word,25_per,26_word,26_per,27_word,27_per,28_word,28_per,29_word,29_per,30_word,30_per,31_word,31_per,32_word,32_per,33_word,33_per,34_word,34_per,35_word,35_per,36_word,36_per,37_word,37_per
11,hit,0.004,valid,0.007,stress,0.007,manager,0.005,bronchitis,0.0,funnier,0.003,bottle,0.002,kitchen,0.004,studio,0.007,deface,0.003,climb,0.005,vote,0.0,strength,0.0,economic,0.006,transfer,0.004,account,0.0,exchange,0.003,condo,0.005,organize,0.004,rotate,0.009,gym,0.004,tour,0.0,incorrectly,0.004,cup,0.0,ppl,0.005,contract,0.004,outie,0.005,trainer,0.005,land,0.003,occur,0.004,english_language,0.0,pray,0.005,fan,0.0,baffle,0.008,mucho,0.005,missionary,0.006,date,0.006,ditch,0.006
12,spaz,0.003,orientation,0.006,immune,0.006,darkness,0.005,evolutionary,0.0,dayurllink,0.003,dance,0.002,waddle,0.004,wire,0.007,pineapple_slice,0.003,beach,0.005,kettle,0.0,emphasis,0.0,sin,0.006,conservative,0.004,addictive,0.0,remove,0.003,hearty,0.005,garden,0.004,penance,0.008,evil,0.004,belong,0.0,cud,0.003,class,0.0,mountain,0.005,design,0.004,spreadsheet,0.004,rock,0.005,coach,0.003,balance,0.004,ego_pride_worth,0.0,den,0.004,marketer,0.0,buff,0.007,willingly,0.005,earth,0.006,mission,0.005,garnish,0.005
13,missional,0.003,silly,0.006,paperwork,0.006,project,0.004,calculate,0.0,crocodile,0.003,club,0.002,allied,0.004,refrain,0.007,saxaphone,0.002,camp,0.005,interview,0.0,copy,0.0,shake,0.005,me_nbsp,0.004,cough,0.0,fail,0.003,grasp,0.005,item,0.004,screen,0.007,priest,0.004,katie,0.0,overwhelming,0.003,girlie,0.0,travel,0.005,invite,0.004,agitate,0.004,income,0.005,fat,0.003,pro,0.004,hit,0.0,account,0.004,dominate,0.0,advanced,0.007,emit,0.005,charge,0.006,natural,0.005,freezer,0.005
14,attainable,0.003,potato,0.006,law_enforcement,0.006,tag,0.004,cliche,0.0,streetcar,0.002,cd,0.002,fervor,0.003,journal,0.007,flipper_baby,0.002,commercial,0.005,outsourcing,0.0,talke,0.0,left,0.005,track,0.004,demonstration,0.0,target,0.003,surely,0.005,homework,0.004,wednesday,0.007,ju,0.004,meaning,0.0,slighty,0.003,value,0.0,handle,0.005,self,0.004,subject,0.004,oil,0.005,knock,0.003,british,0.004,ringotdl_ringotdl,0.0,sing,0.004,wanna,0.0,kite,0.007,slope,0.005,forum,0.006,article,0.005,li,0.005
15,celibate,0.002,cut_taxis,0.006,noise,0.005,brand,0.004,ramp,0.0,section,0.002,political,0.002,meaningful,0.003,therapist,0.006,administrate,0.001,high_school,0.005,purchase,0.0,speck,0.0,forever,0.005,milk,0.004,waiter,0.0,faith,0.003,yr_old,0.005,war,0.004,obedience,0.007,pot,0.004,bind,0.0,hot_beverage,0.003,absolutely,0.0,blow,0.005,american,0.004,maxim,0.004,doctor,0.004,health,0.003,content,0.004,value,0.0,plate,0.004,carelessly,0.0,plaque,0.006,apologize,0.005,silver,0.005,restaurant,0.005,weather,0.005
16,nongirlfriend,0.002,installment,0.006,black_hole,0.005,ad,0.004,glory,0.0,dearly,0.002,benefit,0.002,disappointment,0.003,singer,0.006,jackhammer,0.001,child,0.005,expert,0.0,ringotdl_ringotdl,0.0,shower,0.005,radio,0.004,storm,0.0,military,0.003,agency,0.005,flag,0.004,buckle,0.006,swear,0.004,card,0.0,unwrap,0.003,lentil,0.0,abuse,0.004,dentist,0.004,ringotdl,0.004,journey,0.004,administration,0.003,amp,0.004,dog,0.0,headache,0.004,field,0.0,front_page,0.005,dog,0.004,waist,0.005,bump,0.005,bah,0.004
17,crafty,0.002,coworker,0.005,ste,0.005,spiritual,0.004,carpet,0.0,reformatte,0.002,search,0.002,carpenter,0.003,process,0.006,icq,0.001,writer,0.004,unexpected,0.0,accountability,0.0,wood,0.005,banana,0.004,odd,0.0,block,0.002,alike,0.004,safe,0.004,goo,0.006,bike,0.004,art,0.0,proportion,0.002,wrestling,0.0,ice_cream,0.004,desk,0.004,rein,0.004,screen,0.004,build,0.003,flop,0.004,scream,0.0,church,0.004,gruesome,0.0,elector,0.005,knockin,0.004,regret,0.005,soft,0.004,aforementioned,0.004
18,baller,0.002,inform,0.005,concentrate,0.005,abortion,0.004,aspect,0.0,raft,0.002,cup,0.002,beating,0.003,laundry,0.006,raccoon,0.001,event,0.004,heat,0.0,operating_system,0.0,freeze,0.004,crew,0.004,crush,0.0,football,0.002,lunge,0.004,ship,0.004,raining,0.005,fake,0.004,opinion,0.0,untie,0.002,office,0.0,match,0.004,strike,0.003,duo,0.004,faith,0.004,swing,0.003,software,0.004,int,0.0,plot,0.004,gig,0.0,potluck,0.005,patriotic,0.004,gas_station,0.005,friendship,0.004,permit,0.004
19,vision,0.002,economic_policy,0.005,brown_hair,0.005,flash,0.004,emergency_room,0.0,molar,0.002,attack,0.002,somone,0.003,load,0.006,scorch,0.0,horse,0.004,pride,0.0,tea,0.0,online,0.004,moral,0.004,parent,0.0,punk,0.002,dictionary,0.004,shoe,0.004,cook_meal,0.005,label,0.004,vote,0.0,reiki,0.002,rice,0.0,pet,0.004,red,0.003,foolishness,0.004,taxi,0.004,soup,0.003,conflict,0.003,progress,0.0,concert,0.004,ego_pride_worth,0.0,prompt,0.005,prototype,0.004,cancer,0.005,typical,0.004,coriander,0.004
20,days,0.002,demanding,0.005,owe,0.005,gay_marriage,0.004,aspire,0.0,dispite,0.002,store,0.002,increase,0.003,cop,0.005,travel_mug,0.0,essay,0.004,rich,0.0,hummingbird,0.0,bubble,0.004,chase,0.004,yr,0.0,war,0.002,vanity,0.004,donut,0.004,preliminary,0.005,meal,0.004,untill,0.0,idk,0.002,program,0.0,stare,0.004,fish,0.003,disillusion,0.003,version,0.004,suspect,0.003,struggle,0.003,child,0.0,education,0.004,workout,0.0,absent,0.005,repellent,0.004,banner,0.005,realy,0.004,corruption,0.004
21,hokey,0.002,self_portrait,0.005,smooth,0.005,operation,0.004,chinese,0.0,villa,0.002,training,0.002,eastern_european,0.003,otherwise,0.005,slam,0.0,exist,0.004,drape,0.0,control,0.0,perceive,0.004,training,0.004,architect,0.0,random,0.002,assumption,0.004,holy,0.004,apple,0.005,ice,0.003,relationship,0.0,whirlwind,0.002,heavy,0.0,wood,0.004,ear,0.003,slouch,0.003,captain,0.004,breathe,0.003,scandal,0.003,interview,0.0,universe,0.004,guitar,0.0,upcoming,0.004,gay_marriage,0.004,global,0.005,screw,0.004,trap,0.004
22,unsolicited,0.002,clean,0.004,bracket,0.005,information,0.004,yellow,0.0,sod,0.002,plant,0.002,impatient,0.003,fierce,0.005,girlfriend,0.0,plastic,0.004,smoke,0.0,moreurllink,0.0,german,0.004,datum,0.004,raise,0.0,torture,0.002,pissed,0.004,position,0.004,quick,0.004,art,0.003,cough,0.0,wun,0.002,cd,0.0,secret,0.004,analysis,0.003,reprove,0.003,text,0.004,island,0.003,quit,0.003,haircut,0.0,tape,0.004,reaction,0.0,snowball,0.004,difficulty,0.003,chinese,0.004,gym,0.004,at_least,0.004
23,vous,0.002,sympathy,0.004,bee,0.005,source,0.004,gay_marriage,0.0,portable,0.001,image,0.002,finger_cross,0.003,press,0.005,coast,0.0,ghetto,0.004,steal,0.0,clubhouse,0.0,deadline,0.004,reality,0.004,brand,0.0,bird,0.002,mad,0.004,weight,0.003,coffee,0.004,pump,0.003,dance,0.0,syndicate,0.002,smell,0.0,employment,0.004,require,0.003,unnamed,0.003,judge,0.004,property,0.003,raw,0.003,return,0.0,murder,0.003,musical,0.0,self_destructive,0.004,eject,0.003,toe,0.004,went,0.004,vague,0.003
24,shift,0.002,artificial,0.004,koala,0.005,safety,0.003,supply,0.0,deadly,0.001,fire,0.002,retaliate,0.003,superhero,0.005,prayer,0.0,download,0.004,church,0.0,details,0.0,after_all,0.004,smart,0.004,firework,0.0,patent,0.002,conquer,0.004,lock,0.003,zealous,0.004,error,0.003,who,0.0,generator,0.002,flop,0.0,host,0.003,hero,0.003,ringotdl_ringotdl,0.003,medicine,0.004,cut,0.003,nipple,0.003,pot,0.0,healthy,0.003,contest,0.0,unchecked,0.004,relieve_stress,0.003,photo,0.004,specific,0.004,upper,0.003
25,card,0.002,tax_cut,0.004,mentor,0.004,wedding,0.003,hospital,0.0,hokey,0.001,sock,0.002,simplified,0.003,popcorn,0.005,passion,0.0,sink,0.003,building,0.0,maker,0.0,praise,0.004,indian,0.003,phase,0.0,seed,0.002,herbal,0.004,tool,0.003,minded,0.004,grill,0.003,hall,0.0,generational,0.002,table,0.0,monkey,0.003,minister,0.003,puke,0.003,catholic,0.004,seek,0.003,wing,0.003,office,0.0,shame,0.003,outlook,0.0,majorly,0.004,spanish,0.003,chemo,0.004,straight,0.004,sausage,0.003
26,kitty,0.002,simultaneously,0.004,musical,0.004,design,0.003,custody,0.0,morn,0.001,register,0.002,free_shipping,0.003,describe,0.005,company,0.0,art,0.003,sunny,0.0,protein,0.0,starve,0.004,runner,0.003,vote,0.0,relative,0.002,gene,0.004,slice,0.003,moo,0.004,bet,0.003,shot,0.0,upscale,0.001,jam,0.0,beach,0.003,mirror,0.003,postman,0.003,danger,0.004,bury,0.003,commit,0.003,entry,0.0,ugly,0.003,score,0.0,office,0.003,afterwards,0.003,messenger,0.004,candy,0.004,john,0.003
27,psyched,0.002,comin,0.004,mood,0.004,shitty,0.003,nap,0.0,bucket,0.001,yard,0.002,ergo,0.002,crisp,0.005,generator,0.0,scam,0.003,music,0.0,comic,0.0,oven,0.004,clothing,0.003,train,0.0,trade,0.002,kidz,0.004,color,0.003,ship,0.004,corner,0.003,tea,0.0,rumpled,0.001,summer,0.0,correlation,0.003,chapter,0.003,babe,0.003,teaching,0.004,network,0.003,jus,0.003,perfect,0.0,performance,0.003,sport,0.0,tenet,0.003,nominal,0.003,mission,0.004,vocal,0.004,spatter,0.003
28,bubblegum,0.002,reader,0.004,learning_experience,0.004,christian,0.003,percent,0.0,users,0.001,kiss,0.002,orangutan,0.002,sloppy,0.005,aside,0.0,clue,0.003,shu,0.0,age,0.0,commission,0.004,knit,0.003,key,0.0,graduate,0.002,input,0.003,negative,0.003,mov,0.004,resume,0.003,cell_phone,0.0,newsroom,0.001,marriage,0.0,stride,0.003,ministry,0.003,staci,0.003,letter,0.003,vehicle,0.003,crime,0.003,squirrel,0.0,loss,0.003,rain,0.0,importance,0.003,skillet,0.003,wine,0.004,spaghetti,0.004,crook,0.003
29,curricular,0.001,demo,0.004,thunder,0.004,issue,0.003,grease,0.0,gas,0.001,election,0.002,global_climate,0.002,conviction,0.004,excessively,0.0,soul,0.003,breast_cancer,0.0,youth,0.0,security,0.004,grace,0.003,spy,0.0,author,0.002,copy,0.003,agreement,0.003,lifeless,0.004,devil,0.003,winner,0.0,marche,0.001,match,0.0,smoking,0.003,freedom,0.003,kindof,0.003,pregnant,0.003,faith,0.003,package,0.003,reminder,0.0,policy,0.003,clammy,0.0,politicize,0.003,singer_songwriter,0.003,examination,0.004,lift,0.003,yonder,0.003
30,cat,0.001,thug,0.004,dearly,0.004,coupon,0.003,bumper,0.0,helluva,0.001,official,0.002,capital_letter,0.002,outrage,0.004,birthday,0.0,slack,0.003,promise,0.0,patent,0.0,meditation,0.003,vacation,0.003,program,0.0,hug,0.002,conclude,0.003,pedicure,0.003,approximately,0.003,taxis,0.003,account,0.0,scattershot,0.001,perfect,0.0,aussie,0.003,wild,0.003,outlive,0.003,witch,0.003,cheap,0.003,hole,0.003,payment,0.0,fee,0.003,allergic,0.0,practicing,0.003,undergraduate_education,0.003,squash,0.004,location,0.003,music,0.003
31,geopolitic,0.001,potency,0.003,peck,0.004,pc,0.003,overreact,0.0,sate,0.001,ill,0.002,coop,0.002,chicken,0.004,days,0.0,success,0.003,teenager,0.0,garage,0.0,crust,0.003,breakfast,0.003,guest,0.0,haha,0.002,chatterbox,0.003,bail,0.003,maneuver,0.003,pool,0.003,standard,0.0,hg,0.001,television,0.0,leaflet,0.003,baseball,0.003,pain_killer,0.003,sick,0.003,marriage,0.003,template,0.003,mission,0.0,fault,0.003,apologize,0.0,tj,0.003,crossroad,0.003,ocean,0.004,desire,0.003,meatloaf,0.003
32,coug,0.001,dictionary,0.003,sting,0.004,squirrel,0.003,bus,0.0,slapstick,0.001,truck,0.002,detachment,0.002,disco,0.004,interpret,0.0,fund,0.003,hit,0.0,shriek,0.0,elbow,0.003,complaint,0.003,blood,0.0,uncle,0.002,evening,0.003,amusing,0.003,detail,0.003,chicken,0.003,foundation,0.0,whup,0.001,relationship,0.0,injury,0.003,boat,0.003,othe,0.003,space,0.003,cake,0.003,white,0.003,advanced,0.0,history,0.003,associate,0.0,countryman,0.002,income_earner,0.003,court,0.004,human,0.003,speck,0.003
33,liven,0.001,policy,0.003,flashback,0.004,stage,0.003,pleasure,0.0,performer,0.001,bowl,0.002,ontop,0.002,rumour,0.004,sunglass,0.0,sober,0.003,degree,0.0,conservative,0.0,scan,0.003,fund,0.003,introduce,0.0,rain,0.002,princess,0.003,throat,0.003,incur,0.003,fantastic,0.003,priest,0.0,tattle,0.001,beer,0.0,rank,0.003,servant,0.003,terrible,0.003,solid,0.003,sex,0.002,web,0.003,vision,0.0,influence,0.003,stink,0.0,umpteenth,0.002,urinate,0.002,neon,0.004,review,0.003,courtesy,0.003
34,amazingly,0.001,rhetoric,0.003,conceive,0.003,deck,0.003,review,0.0,reconstruct,0.001,bomb,0.002,bonk,0.002,mother,0.004,leap,0.0,career,0.003,poetry,0.0,tool,0.0,gold,0.003,fat,0.003,police,0.0,troop,0.002,goin,0.003,teller,0.003,kindness,0.003,actor,0.003,purely,0.0,soooome,0.001,debate,0.0,wit,0.003,basketball,0.003,fashionable,0.002,ice_cream,0.003,ban,0.002,mother,0.003,cut,0.0,file,0.003,dog,0.0,neckline,0.002,lightweight,0.002,emergency_room,0.004,option,0.003,bunche,0.003
35,remain_silent,0.001,uninformed,0.003,wet,0.003,wolf,0.003,smoke,0.0,diablo,0.001,bar,0.002,topic,0.002,bathing_suit,0.004,camp,0.0,truck,0.003,backlash,0.0,workday,0.0,failure,0.003,photo,0.003,haiku,0.0,copy,0.002,drug_dealer,0.003,delivery,0.003,overshadow,0.003,jazz,0.003,treadmill,0.0,truffle,0.001,posting,0.0,suffer,0.003,boyfriend,0.003,haul,0.002,container,0.003,branch,0.002,tournament,0.003,chicken,0.0,number,0.003,pregnant,0.0,scream,0.002,chicken,0.002,string,0.004,lease,0.003,uterus,0.003
36,supersize,0.001,blindness,0.003,garage,0.003,employee,0.003,rating,0.0,pavel,0.001,map,0.002,missing,0.002,dishonest,0.004,boonie,0.0,company,0.003,multimedia,0.0,atrocious,0.0,pathetic,0.003,building,0.003,evening,0.0,toy,0.002,construction_worker,0.003,technical,0.003,pause,0.003,golf,0.003,censorship,0.0,voluntary,0.0,excellent,0.0,twin,0.003,shut,0.003,bish,0.002,lid,0.003,upset,0.002,ceremony,0.003,evening,0.0,wif,0.003,interview,0.0,purely,0.002,libido,0.002,fear,0.004,valley,0.003,architect,0.003
37,innaccurate,0.001,outing,0.003,hiking,0.003,radical,0.003,pint,0.0,competence,0.001,band,0.002,hungry,0.002,civic,0.004,score,0.0,creativity,0.003,lean,0.0,church,0.0,burn,0.003,bowl,0.003,greet,0.0,award,0.002,siren,0.003,deliver,0.003,misery,0.003,scene,0.003,nature,0.0,mess,0.0,car,0.0,liberal,0.003,leader,0.003,amalgamation,0.002,tornado,0.003,jean,0.002,skate,0.003,subject,0.0,wedding,0.003,scary,0.0,commerical,0.002,custody,0.002,extraordinary,0.004,senior,0.003,treasury,0.003
38,depressingly,0.001,runnerguy,0.003,martial_art,0.003,bread,0.003,bite,0.0,clip,0.001,station,0.002,inevitable,0.002,within,0.003,taunt,0.0,wedding,0.003,entry,0.0,photo,0.0,planner,0.003,nite,0.003,marry,0.0,guide,0.002,difficulty,0.003,dorm,0.003,psychology,0.003,filter,0.003,wine,0.0,howl,0.0,cake,0.0,amendment,0.003,sentence,0.002,posit,0.002,bridge,0.003,wide,0.002,generation,0.003,webmaster,0.0,apartment,0.003,paperback,0.0,gourllink,0.002,view,0.002,mainland,0.004,rapid,0.003,disappointing,0.002
39,drve,0.001,dreamer,0.003,nongirlfriend,0.003,dangerous,0.003,goal,0.0,postpone,0.001,practice,0.002,anachronism,0.001,amend,0.003,worthless,0.0,software,0.003,respect,0.0,writing,0.0,artwork,0.003,expose,0.003,wedding,0.0,reward,0.002,subdue,0.002,aquarium,0.003,extra,0.003,sauce,0.003,define,0.0,planner,0.0,popular,0.0,refuse,0.003,budget,0.002,projection,0.002,card,0.003,cream,0.002,bitch,0.003,film,0.0,tax_cut,0.003,reduce,0.0,yg,0.002,drawl,0.002,blast,0.004,awake,0.003,bronchitis,0.002
40,alike,0.001,die,0.003,marry,0.003,plastic,0.003,nose,0.0,creation,0.0,alot,0.002,gratifying,0.001,wise,0.003,unique,0.0,fairy_tale,0.003,mother,0.0,stretch,0.0,matrix,0.003,deserve,0.003,foriegn,0.0,lady,0.002,rehab,0.002,hunt,0.003,intensify,0.003,security,0.003,definately,0.0,moderate,0.0,dog,0.0,msn,0.003,party,0.002,quesadilla,0.002,surprise,0.003,aspect,0.002,decline,0.003,snow,0.0,board,0.003,cuzin,0.0,iceberg,0.002,cleaner,0.002,pumpkin,0.004,sermon,0.003,lily,0.002
41,brasil,0.001,instance,0.003,recognise,0.003,roof,0.003,ticket,0.0,rediscover,0.0,gal,0.002,vanquish,0.001,potentially,0.003,rest_assure,0.0,storage,0.003,nervousness,0.0,teacher,0.0,datum,0.003,neck,0.003,number,0.0,spring,0.002,shortcake,0.002,boring,0.003,recent,0.003,following,0.003,spare,0.0,lake,0.0,vampire,0.0,expression,0.003,blood,0.002,paranoia,0.002,grandfather,0.003,size,0.002,sushi,0.003,flight,0.0,employer,0.003,goal,0.0,jam_session,0.002,smokey,0.002,spine,0.003,penis,0.003,color,0.002
42,commencement,0.001,patriotism,0.003,parameter,0.003,melt,0.003,green,0.0,pedophile,0.0,firework,0.002,chicken_pox,0.001,episode,0.003,dairy,0.0,connect,0.003,surfer,0.0,user,0.0,violence,0.003,son,0.003,passerby,0.0,rise,0.002,sucks,0.002,coat,0.003,mistake,0.003,leadership,0.003,freedom,0.0,publication,0.0,winner,0.0,infrastructure,0.003,tunnel,0.002,drab,0.002,surrender,0.003,technology,0.002,cop,0.003,pool,0.0,click,0.003,press,0.0,meteor,0.002,holy,0.002,bride,0.003,lip,0.003,embarass,0.002
43,cardio,0.001,makeup,0.003,wierd,0.003,package,0.003,nostalgia,0.0,grave,0.0,dude,0.002,mormon,0.001,cliched,0.003,wind,0.0,context,0.003,cup,0.0,pistol,0.0,bridge,0.003,ad,0.003,relief,0.0,apartment,0.002,bi,0.002,orange,0.003,pinstripe,0.003,winter,0.002,library,0.0,cheerio,0.0,music,0.0,refill,0.003,ex,0.002,junction,0.002,trail,0.003,noodle,0.002,mental,0.003,yell,0.0,cough,0.003,pitch,0.0,untitle,0.002,weirde,0.002,irresponsible,0.003,smoker,0.003,update,0.002
44,tweet,0.001,divert,0.003,jess,0.003,etc,0.003,relationship,0.0,sidenote,0.0,smile,0.002,preparation,0.001,cheese_sandwich,0.003,wild,0.0,hair,0.003,ex,0.0,mob,0.0,capture,0.003,steak,0.003,reply,0.0,odd,0.002,embassy,0.002,responsible,0.003,fundamentalist,0.003,cereal,0.002,political,0.0,onsite,0.0,fan,0.0,mall,0.003,expectation,0.002,blissfully,0.002,island,0.003,tea,0.002,fashion,0.003,laptop,0.0,dough,0.003,drone,0.0,disadvantage,0.002,owner,0.002,castle,0.003,celebrity,0.003,spelling_error,0.002
45,cook_meal,0.0,harmful,0.003,wiring,0.003,princess,0.003,truck,0.0,apprentice,0.0,tomato,0.002,visage,0.001,mother_fucker,0.003,church,0.0,dealer,0.003,law,0.0,bird,0.0,irish,0.003,limit,0.002,convincing,0.0,submit,0.002,heidi,0.002,workshop,0.003,gazillion,0.003,sugar,0.002,request,0.0,busing,0.0,evening,0.0,era,0.003,anime,0.002,bashing,0.002,accomplish,0.003,payment,0.002,ju,0.003,hair,0.0,object,0.002,mentor,0.0,bluff,0.002,mince_garlic,0.002,camp,0.003,racist,0.003,madra,0.002
