,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per,8_word,8_per,9_word,9_per,10_word,10_per,11_word,11_per,12_word,12_per,13_word,13_per,14_word,14_per,15_word,15_per,16_word,16_per,17_word,17_per,18_word,18_per,19_word,19_per,20_word,20_per,21_word,21_per,22_word,22_per,23_word,23_per,24_word,24_per,25_word,25_per,26_word,26_per,27_word,27_per,28_word,28_per,29_word,29_per,30_word,30_per,31_word,31_per,32_word,32_per,33_word,33_per,34_word,34_per,35_word,35_per,36_word,36_per,37_word,37_per
10,industry,0.017,customisation,0.0,interest,0.043,launch,0.022,bit,0.027,hrs,0.017,sex,0.027,tonite,0.015,performance,0.017,suffer,0.026,invigorating,0.0,build,0.031,touch,0.027,disuade,0.0,breakfast,0.026,training,0.023,inch,0.033,camera,0.024,individual,0.013,promise,0.032,disuade,0.0,nerves,0.0,sing,0.025,vote,0.034,dare,0.018,lot,0.017,corner,0.025,shoot,0.033,charge,0.03,carry,0.035,tentacle,0.0,exam,0.037,roll,0.029,legend,0.005,daquiri,0.0,journal,0.024,tell,0.022,banishment,0.0
11,vision,0.015,creaking,0.0,exchange,0.028,improve,0.018,turn,0.027,bro,0.015,business,0.025,saturday,0.01,credit_card,0.011,alcohol,0.02,homebuyer,0.0,imagine,0.03,scene,0.024,upswing,0.0,chat,0.026,proceed,0.02,gym,0.031,land,0.021,swap,0.006,present,0.031,gregariousness,0.0,thrushe,0.0,shoulder,0.022,letter,0.026,sub,0.017,hour,0.017,playing,0.018,dude,0.029,society,0.027,exist,0.029,morality,0.0,blogge,0.035,paper,0.028,wench,0.0,thrushe,0.0,nature,0.023,friend,0.022,floorplan,0.0
12,soap,0.014,disuade,0.0,darkness,0.018,consideration,0.008,side,0.026,dial,0.01,bottle,0.017,preach,0.004,nerve,0.01,grandmother,0.019,carol,0.0,receive,0.029,reach,0.022,gregariousness,0.0,appreciate,0.024,excuse,0.02,got,0.027,discover,0.018,uniform,0.004,photo,0.027,opulence,0.0,plank,0.0,quiz,0.018,teacher,0.025,coin,0.016,school,0.016,aunt,0.017,cheer,0.02,politic,0.027,lesson,0.027,wench,0.0,homework,0.033,shower,0.023,sociability,0.0,openmindedness,0.0,laughter,0.021,way,0.021,openminde,0.0
13,tone,0.01,creatifica,0.0,anger,0.016,tentacle,0.0,minute,0.026,instal,0.008,spot,0.017,invigorating,0.0,singing,0.009,grass,0.014,captiavate,0.0,space,0.027,difference,0.019,morality,0.0,meeting,0.024,bite,0.019,fate,0.022,yell,0.018,caretaker,0.0,remain,0.027,liberalism,0.0,upswing,0.0,climb,0.016,discuss,0.021,palm,0.01,come,0.015,wander,0.015,last,0.019,religion,0.026,grant,0.022,orderliness,0.0,peep,0.017,pizza,0.021,caretaker,0.0,liberalism,0.0,coz,0.02,life,0.021,papasan,0.0
14,fame,0.009,gestalt,0.0,fade,0.01,erotica,0.0,wonder,0.021,password,0.005,pant,0.015,quickmba,0.0,requirement,0.006,reserve,0.013,romaine,0.0,cake,0.026,mine,0.014,openmindedness,0.0,buck,0.023,beach,0.017,sink,0.019,stage,0.017,enquiry,0.0,gift,0.025,morality,0.0,openmindedness,0.0,lover,0.015,policy,0.019,symptom,0.009,morning,0.015,yard,0.015,hole,0.015,belief,0.025,attack,0.02,sociability,0.0,hall,0.017,arrive,0.021,wrx,0.0,sociability,0.0,purpose,0.017,do,0.02,assertiveness,0.0
15,pastor,0.008,opulence,0.0,meter,0.009,thrushe,0.0,fact,0.02,cant,0.004,interview,0.014,quebecoise,0.0,take_advantage,0.004,route,0.01,genic,0.0,energy,0.023,theme,0.011,orderliness,0.0,close,0.022,yay,0.016,ju,0.016,chicken,0.014,sociability,0.0,spring,0.025,openmindedness,0.0,morality,0.0,talent,0.015,reply,0.018,orderliness,0.0,eat,0.015,joy,0.014,damn,0.014,president,0.019,button,0.018,caretaker,0.0,disaster,0.011,ton,0.019,quickmba,0.0,caretaker,0.0,bone,0.016,try,0.018,emotionality,0.0
16,minister,0.007,orderliness,0.0,ending,0.009,neath,0.0,become,0.019,web_page,0.003,friendship,0.011,carol,0.0,photocopier,0.0,storm,0.01,laine,0.0,speed,0.022,gain,0.011,sociability,0.0,remove,0.02,swim,0.014,plot,0.016,round,0.014,orderliness,0.0,judge,0.019,orderliness,0.0,sociability,0.0,seek,0.015,concern,0.014,morality,0.0,run,0.014,vehicle,0.013,crowd,0.014,accomplish,0.017,ex,0.018,openmindedness,0.0,venue,0.006,cross,0.015,openmindedness,0.0,orderliness,0.0,represent,0.015,use,0.018,extroversion,0.0
17,webpage,0.003,openmindedness,0.0,orderliness,0.0,sheez,0.0,plan,0.018,disconnect,0.002,settle,0.011,homebuyer,0.0,caretaker,0.0,curiosity,0.006,enquiry,0.0,dish,0.019,ship,0.01,caretaker,0.0,headache,0.019,sand,0.014,pressure,0.016,st,0.013,openmindedness,0.0,ignore,0.016,sociability,0.0,siding,0.0,sea,0.015,realise,0.014,silvering,0.0,stuff,0.014,monkey,0.013,sport,0.013,pile,0.014,rid,0.016,enquiry,0.0,stair,0.005,traffic,0.015,sheez,0.0,wrx,0.0,knock,0.014,come,0.018,gregariousness,0.0
18,genic,0.0,photocopier,0.0,wrx,0.0,caretaker,0.0,kind,0.017,internet_connection,0.001,pretend,0.011,laine,0.0,wrx,0.0,foundation,0.005,blowhardish,0.0,relax,0.018,introduce,0.01,wrx,0.0,station,0.018,winter,0.014,goin,0.015,crack,0.012,morality,0.0,source,0.014,caretaker,0.0,caretaker,0.0,moon,0.013,education,0.013,creatifica,0.0,end,0.014,grill,0.013,baseball,0.013,chase,0.013,activity,0.012,years,0.0,relieve,0.003,gas,0.015,agitator,0.0,enquiry,0.0,humor,0.013,give,0.017,liberalism,0.0
19,captiavate,0.0,sociability,0.0,caretaker,0.0,navel,0.0,drink,0.016,carol,0.0,apply,0.01,enquiry,0.0,enquiry,0.0,poke,0.004,sheez,0.0,schedule,0.017,bore,0.009,enquiry,0.0,potato,0.016,access,0.013,skill,0.014,reader,0.012,wench,0.0,pleasure,0.014,wrx,0.0,wrx,0.0,pose,0.011,cell_phone,0.011,cilip,0.0,wait,0.013,highlight,0.01,bird,0.011,consist,0.009,court,0.012,quickmba,0.0,sheez,0.0,drama,0.014,customisation,0.0,quickmba,0.0,presentation,0.012,one,0.016,morality,0.0
20,professorship,0.0,caretaker,0.0,quickmba,0.0,wrx,0.0,cat,0.015,agitator,0.0,shock,0.01,customisation,0.0,signage,0.0,ditch,0.003,agitator,0.0,drain,0.017,everyday,0.009,quickmba,0.0,rice,0.016,personality,0.013,plastic,0.014,mistake,0.012,wrx,0.0,aim,0.011,enquiry,0.0,enquiry,0.0,rose,0.01,phrase,0.011,openmindedness,0.0,buy,0.012,uncle,0.01,pay_attention,0.01,status,0.008,reading,0.011,sheez,0.0,customisation,0.0,register,0.01,photocopier,0.0,sheez,0.0,impression,0.011,put,0.015,openmindedness,0.0
21,blowhardish,0.0,wrx,0.0,sociability,0.0,signage,0.0,party,0.015,romaine,0.0,advice,0.01,sheez,0.0,quickmba,0.0,warp,0.002,customisation,0.0,rise,0.016,affect,0.009,sheez,0.0,blogger,0.016,trick,0.011,belong,0.013,flight,0.011,liberalism,0.0,surgery,0.011,quickmba,0.0,quickmba,0.0,mass,0.007,info,0.011,sociability,0.0,head,0.012,entertain,0.006,firework,0.009,http_www,0.006,generation,0.011,agitator,0.0,quickmba,0.0,quarter,0.008,signage,0.0,agitator,0.0,medicine,0.011,write,0.015,orderliness,0.0
22,caretaker,0.0,enquiry,0.0,sheez,0.0,enquiry,0.0,begin,0.013,hanging,0.0,trash,0.008,agitator,0.0,agitator,0.0,fruit_veggie,0.0,photocopier,0.0,pot,0.015,lil,0.007,agitator,0.0,repeat,0.015,garden,0.01,promote,0.011,dvd,0.01,sheez,0.0,thousand,0.01,sheez,0.0,sheez,0.0,romance,0.007,speech,0.011,wrx,0.0,house,0.012,signage,0.0,guest,0.009,convert,0.005,population,0.01,customisation,0.0,enquiry,0.0,wine,0.008,erotica,0.0,customisation,0.0,injure,0.01,let,0.015,sociability,0.0
23,sheez,0.0,quickmba,0.0,agitator,0.0,photocopier,0.0,note,0.012,squirrelene,0.0,shame,0.007,captiavate,0.0,customisation,0.0,invigorating,0.0,signage,0.0,celebrate,0.015,spirit,0.007,liberalism,0.0,science,0.012,nap,0.009,borrow,0.011,hook,0.01,agitator,0.0,closet,0.009,agitator,0.0,agitator,0.0,polygamy,0.0,noise,0.01,enquiry,0.0,month,0.012,included,0.0,float,0.008,skull,0.003,favor,0.01,photocopier,0.0,photocopier,0.0,satisfy,0.008,sasquatch,0.0,photocopier,0.0,reaction,0.01,talk,0.014,caretaker,0.0
24,agitator,0.0,sheez,0.0,customisation,0.0,customisation,0.0,state,0.012,photocopier,0.0,mate,0.007,photocopier,0.0,huh,0.0,professorship,0.0,erotica,0.0,flag,0.012,script,0.006,siding,0.0,final,0.012,heck,0.007,movement,0.01,lap,0.009,customisation,0.0,magazine,0.008,omit,0.0,customisation,0.0,gentlefrog,0.0,shade,0.01,quickmba,0.0,walk,0.012,huh,0.0,net,0.008,army,0.001,establish,0.01,signage,0.0,wrx,0.0,sweat,0.007,capuchin,0.0,signage,0.0,trail,0.007,mean,0.014,dutifulness,0.0
25,customisation,0.0,agitator,0.0,photocopier,0.0,quickmba,0.0,stick,0.01,customisation,0.0,cent,0.006,signage,0.0,thailand,0.0,renoune,0.0,sasquatch,0.0,value,0.012,fantasy,0.006,quebecoise,0.0,chapter,0.01,total,0.007,skip,0.01,gather,0.009,photocopier,0.0,reflect,0.007,years,0.0,photocopier,0.0,invigoration,0.0,community,0.009,sheez,0.0,sleep,0.012,openminde,0.0,ed,0.003,enquiry,0.0,indicate,0.009,erotica,0.0,caretaker,0.0,task,0.007,enquiry,0.0,siding,0.0,membership,0.004,man,0.013,dampere,0.0
26,photocopier,0.0,morality,0.0,signage,0.0,agitator,0.0,follow,0.01,taxidermy,0.0,accompany,0.004,erotica,0.0,capuchin,0.0,closeminde,0.0,capuchin,0.0,argue,0.012,squeeze,0.006,customisation,0.0,wound,0.01,whore,0.007,hockey,0.009,crew,0.009,signage,0.0,wisdom,0.007,laine,0.0,orderliness,0.0,included,0.0,sneak,0.008,agitator,0.0,stay,0.011,capuchin,0.0,hearing,0.003,sheez,0.0,suspect,0.009,sasquatch,0.0,signage,0.0,display,0.007,slipper_slap,0.0,laine,0.0,there,0.004,keep,0.013,nerves,0.0
27,signage,0.0,floorplan,0.0,erotica,0.0,sean,0.0,notice,0.01,erotica,0.0,contemplate,0.004,sasquatch,0.0,sasquatch,0.0,floorplan,0.0,quickmba,0.0,murder,0.011,posting,0.005,extroversion,0.0,jacket,0.01,believer,0.003,well,0.008,slip,0.008,erotica,0.0,comfort,0.007,customisation,0.0,laine,0.0,jerkoff,0.0,candidate,0.007,customisation,0.0,spend,0.011,erotica,0.0,tommorrow,0.003,wrx,0.0,pit,0.007,wrx,0.0,agitator,0.0,earn,0.007,orderliness,0.0,quebecoise,0.0,sarcasm,0.004,name,0.013,wrx,0.0
28,erotica,0.0,liberalism,0.0,sasquatch,0.0,disuade,0.0,road,0.01,sasquatch,0.0,soda,0.003,capuchin,0.0,erotica,0.0,photocopier,0.0,cataloging,0.0,god,0.011,guide,0.005,creaking,0.0,laptop,0.01,gag,0.002,please,0.008,key,0.008,sasquatch,0.0,pause,0.005,navel,0.0,captiavate,0.0,knick_knack,0.0,engine,0.006,photocopier,0.0,decide,0.011,creaking,0.0,backyard,0.002,customisation,0.0,justice,0.007,siding,0.0,sociability,0.0,grocery_store,0.007,plank,0.0,homebuyer,0.0,comic,0.002,ask,0.012,squirrelene,0.0
29,renoune,0.0,closeminde,0.0,capuchin,0.0,flotsam,0.0,step,0.009,capuchin,0.0,dislike,0.003,upswing,0.0,sheez,0.0,wench,0.0,brokerage,0.0,appeal,0.01,yea,0.005,floorplan,0.0,variety,0.009,cheerleader,0.001,grin,0.008,toast,0.008,capuchin,0.0,ceremony,0.005,creaking,0.0,homebuyer,0.0,huh,0.0,accent,0.005,signage,0.0,sit,0.011,thailand,0.0,await,0.002,photocopier,0.0,human,0.006,homebuyer,0.0,erotica,0.0,gossip,0.006,cataloging,0.0,plank,0.0,what,0.001,happen,0.012,preapproval,0.0
30,cataloging,0.0,cilip,0.0,enquiry,0.0,cilip,0.0,worry,0.008,thailand,0.0,long,0.003,genic,0.0,upswing,0.0,quickmba,0.0,creatifica,0.0,ppl,0.009,sword,0.004,openminde,0.0,beef,0.008,thailand,0.0,evil,0.007,owner,0.007,thailand,0.0,witness,0.005,floorplan,0.0,disuade,0.0,scraper,0.0,permit,0.004,erotica,0.0,fun,0.01,upswing,0.0,spaghetti,0.0,signage,0.0,trial,0.006,quebecoise,0.0,carol,0.0,rescue,0.004,creatifica,0.0,flotsam,0.0,adventurousness,0.0,live,0.011,hanging,0.0
31,quickmba,0.0,cataloging,0.0,opulence,0.0,creatifica,0.0,bunch,0.007,huh,0.0,embrace,0.003,gestalt,0.0,sociability,0.0,silvering,0.0,sooooooon,0.0,poetry,0.009,spare,0.004,closeminde,0.0,singe,0.008,sooooooon,0.0,disc,0.006,clue,0.007,quickmba,0.0,approve,0.005,openminde,0.0,creaking,0.0,thailand,0.0,attendance,0.004,sasquatch,0.0,home,0.01,sasquatch,0.0,respects,0.0,erotica,0.0,bbq,0.005,disuade,0.0,genic,0.0,dispute,0.003,captiavate,0.0,disuade,0.0,esp,0.0,person,0.01,colleage,0.0
32,creatifica,0.0,genic,0.0,thrushe,0.0,carol,0.0,act,0.007,included,0.0,hatred,0.003,cataloging,0.0,slipper_slap,0.0,signage,0.0,daquiri,0.0,occasion,0.009,we,0.004,squirrelene,0.0,cell,0.008,knick_knack,0.0,lecture,0.005,bullshit,0.007,gestalt,0.0,march,0.004,closeminde,0.0,floorplan,0.0,signage,0.0,outline,0.004,capuchin,0.0,check,0.009,photocopier,0.0,orderliness,0.0,sasquatch,0.0,lecturer,0.005,creaking,0.0,captiavate,0.0,pie,0.002,sooooooon,0.0,creaking,0.0,rife,0.0,story,0.01,sean,0.0
33,invigorating,0.0,blowhardish,0.0,colleage,0.0,homebuyer,0.0,light,0.007,polygamy,0.0,heaven,0.001,daquiri,0.0,homebuyer,0.0,opulence,0.0,thrushe,0.0,cloud,0.008,trailer,0.004,preapproval,0.0,mum,0.007,insite,0.0,rat,0.003,pilot,0.006,closeminde,0.0,hint,0.004,squirrelene,0.0,openminde,0.0,insite,0.0,lad,0.003,caretaker,0.0,meet,0.009,customisation,0.0,customisation,0.0,emotionality,0.0,compassion,0.004,floorplan,0.0,homebuyer,0.0,analysis,0.002,quebecoise,0.0,floorplan,0.0,gifts,0.0,help,0.01,slipper_slap,0.0
34,carol,0.0,tentacle,0.0,slipper_slap,0.0,quebecoise,0.0,remind,0.006,gentlefrog,0.0,sway,0.0,thrushe,0.0,quebecoise,0.0,erotica,0.0,tentacle,0.0,imagination,0.007,choke,0.003,hanging,0.0,entertainment,0.005,scraper,0.0,comin,0.003,participate,0.004,disuade,0.0,introduction,0.002,preapproval,0.0,closeminde,0.0,slipper_slap,0.0,supporter,0.002,creaking,0.0,mom,0.009,polygamy,0.0,flinch,0.0,quickmba,0.0,shelter,0.003,openminde,0.0,quebecoise,0.0,sit_couch,0.002,laine,0.0,openminde,0.0,disuade,0.0,world,0.01,neath,0.0
35,taxidermy,0.0,siding,0.0,cilip,0.0,laine,0.0,term,0.005,signage,0.0,brandish,0.0,tentacle,0.0,laine,0.0,sasquatch,0.0,plank,0.0,depth,0.007,gang,0.003,colleage,0.0,over,0.005,taxidermy,0.0,frisbee,0.003,west,0.004,years,0.0,transform,0.002,hanging,0.0,squirrelene,0.0,neath,0.0,bash,0.002,liberalism,0.0,money,0.009,squirrelene,0.0,photocopier,0.0,agitator,0.0,tolerate,0.0,closeminde,0.0,cilip,0.0,huh,0.0,siding,0.0,closeminde,0.0,invitations,0.0,remember,0.009,brokerage,0.0
36,sooooooon,0.0,years,0.0,carol,0.0,siding,0.0,invite,0.005,sooooooon,0.0,closeup,0.0,plank,0.0,siding,0.0,kiddikin,0.0,flotsam,0.0,stretch,0.007,female,0.002,sean,0.0,north,0.004,thrushe,0.0,confession,0.0,co,0.004,omit,0.0,bark,0.002,colleage,0.0,preapproval,0.0,squirrelene,0.0,online,0.002,openminde,0.0,break,0.008,slipper_slap,0.0,erotica,0.0,preapproval,0.0,outing,0.0,squirrelene,0.0,blowhardish,0.0,included,0.0,years,0.0,squirrelene,0.0,submerse,0.0,hear,0.009,gestalt,0.0
37,daquiri,0.0,omit,0.0,blowhardish,0.0,years,0.0,freak,0.004,floorplan,0.0,tizzy,0.0,flotsam,0.0,years,0.0,flinch,0.0,disuade,0.0,dragon,0.007,cherry,0.002,slipper_slap,0.0,dilemma,0.003,tentacle,0.0,professorship,0.0,drown,0.003,oddity,0.0,nt,0.001,sean,0.0,hanging,0.0,hanging,0.0,ally,0.001,omit,0.0,tonight,0.008,gifts,0.0,opulence,0.0,squirrelene,0.0,organise,0.0,preapproval,0.0,sooooooon,0.0,capuchin,0.0,genic,0.0,preapproval,0.0,creaking,0.0,point,0.009,creatifica,0.0
38,thrushe,0.0,oddity,0.0,genic,0.0,genic,0.0,rent,0.004,thrushe,0.0,anthropologist,0.0,disuade,0.0,genic,0.0,carol,0.0,creaking,0.0,beauty,0.006,excite,0.002,neath,0.0,statistic,0.003,plank,0.0,gestalt,0.0,league,0.003,nerves,0.0,invigoration,0.0,siding,0.0,colleage,0.0,invitations,0.0,knick_knack,0.0,oddity,0.0,sound,0.008,brokerage,0.0,bdrm,0.0,gestalt,0.0,sooooooon,0.0,hanging,0.0,hanging,0.0,polygamy,0.0,homebuyer,0.0,hanging,0.0,realist,0.0,word,0.009,circumstancs,0.0
39,tentacle,0.0,nerves,0.0,captiavate,0.0,captiavate,0.0,fool,0.004,cataloging,0.0,bronchitis,0.0,creaking,0.0,captiavate,0.0,taxidermy,0.0,floorplan,0.0,sentence,0.006,fighting,0.002,brokerage,0.0,chart,0.003,crystallize,0.0,creatifica,0.0,forum,0.002,quebecoise,0.0,anthropologist,0.0,slipper_slap,0.0,quebecoise,0.0,tentacle,0.0,insite,0.0,nerves,0.0,tomorrow,0.008,gestalt,0.0,sasquatch,0.0,professorship,0.0,anthropologist,0.0,colleage,0.0,preapproval,0.0,gentlefrog,0.0,neath,0.0,erotica,0.0,flotsam,0.0,believe,0.008,cilip,0.0
40,plank,0.0,openminde,0.0,homebuyer,0.0,slipper_slap,0.0,topic,0.004,blowhardish,0.0,sooooooon,0.0,floorplan,0.0,daquiri,0.0,sooooooon,0.0,cilip,0.0,strip,0.005,vow,0.002,gestalt,0.0,brownie,0.002,daquiri,0.0,colleage,0.0,sail,0.002,laine,0.0,memorium,0.0,brokerage,0.0,sean,0.0,thrushe,0.0,jerkoff,0.0,circumstancs,0.0,guess,0.007,creatifica,0.0,acoustic,0.0,cilip,0.0,tizzy,0.0,laine,0.0,opulence,0.0,sasquatch,0.0,thrushe,0.0,colleage,0.0,brandish,0.0,mind,0.008,blowhardish,0.0
41,flotsam,0.0,quebecoise,0.0,creatifica,0.0,sooooooon,0.0,edge,0.003,genic,0.0,counterculture,0.0,openminde,0.0,sean,0.0,daquiri,0.0,openminde,0.0,tornado,0.004,tender,0.002,creatifica,0.0,sting,0.0,jerkoff,0.0,slipper_slap,0.0,sausage,0.002,plank,0.0,knick_knack,0.0,gestalt,0.0,neath,0.0,daquiri,0.0,foreground,0.0,laine,0.0,course,0.007,cilip,0.0,capuchin,0.0,cataloging,0.0,memorium,0.0,sean,0.0,squirrelene,0.0,invigoration,0.0,sean,0.0,slipper_slap,0.0,unrest,0.0,reason,0.008,genic,0.0
42,disuade,0.0,plank,0.0,cataloging,0.0,colleage,0.0,kitty,0.003,captiavate,0.0,gird,0.0,closeminde,0.0,colleage,0.0,rife,0.0,squirrelene,0.0,flesh,0.004,motive,0.001,cilip,0.0,romaine,0.0,invigorating,0.0,creaking,0.0,arrival,0.002,brokerage,0.0,bronchitis,0.0,creatifica,0.0,brokerage,0.0,sooooooon,0.0,crystallize,0.0,siding,0.0,suck,0.007,sean,0.0,thailand,0.0,blowhardish,0.0,brandish,0.0,neath,0.0,openminde,0.0,jerkoff,0.0,colleage,0.0,neath,0.0,laundrymat,0.0,hope,0.008,captiavate,0.0
43,creaking,0.0,brokerage,0.0,taxidermy,0.0,hanging,0.0,tape,0.003,homebuyer,0.0,realist,0.0,squirrelene,0.0,hanging,0.0,gestalt,0.0,preapproval,0.0,torture,0.004,bathe,0.001,cataloging,0.0,thailand,0.0,capuchin,0.0,rife,0.0,dominate,0.002,neath,0.0,supervillain,0.0,cilip,0.0,gestalt,0.0,taxidermy,0.0,scraper,0.0,flotsam,0.0,fall,0.007,neath,0.0,signage,0.0,genic,0.0,counterculture,0.0,brokerage,0.0,floorplan,0.0,knick_knack,0.0,hanging,0.0,brokerage,0.0,bronchitis,0.0,hate,0.007,homebuyer,0.0
44,floorplan,0.0,neath,0.0,preapproval,0.0,preapproval,0.0,episode,0.003,creatifica,0.0,memorium,0.0,preapproval,0.0,preapproval,0.0,creatifica,0.0,hanging,0.0,fren,0.003,equip,0.001,blowhardish,0.0,scraper,0.0,invigoration,0.0,flotsam,0.0,haircut,0.002,slipper_slap,0.0,gird,0.0,cataloging,0.0,creatifica,0.0,capuchin,0.0,signage,0.0,gestalt,0.0,phone,0.007,floorplan,0.0,huh,0.0,brokerage,0.0,supervillain,0.0,gestalt,0.0,creaking,0.0,thailand,0.0,preapproval,0.0,gestalt,0.0,grabber,0.0,lose,0.007,quebecoise,0.0
